Nom du commerce;Adresse;Code postal;Type de commerce;Services;Description;Précisions;Site internet;Téléphone;Mail;geo_shape;geo_point_2d
Franprix;114 rue de Bagnolet;75020;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;;;;06 13 90 76 60;yunwu920@hotmail.com;"{""type"": ""Point"", ""coordinates"": [2.4036451127657292, 48.85986362893327]}";48.8598636289,2.40364511277
Les plaisirs de la table;Marché place Maubert;75005;Épicerie fine;Livraisons à domicile;Miel, gelée royale, propolis, huiles, moutardes, confitures - Livraison Paris dès 35€ - CB OK;;;06 83 15 19 91;lesplaisirsdelatable@yahoo.fr;"{""type"": ""Point"", ""coordinates"": [2.34865276840894, 48.850062970609336]}";48.8500629706,2.34865276841
Xiaoyin wen;44 rue Dauphine;75006;Alimentation générale et produits de première nécessité;Livraisons à domicile;;;;;;"{""type"": ""Point"", ""coordinates"": [2.338764060709512, 48.85414320046758]}";48.8541432005,2.33876406071
La petite vache de Louis;Marché de bastille;75011;Fromagerie;Livraisons à domicile;;;;07 71 35 09 34;Lapetitevachedelouis.karine@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.369593888011411, 48.85423467358265]}";48.8542346736,2.36959388801
Da vittorio giordano;56 Rue de Vouillé;75015;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;"Plat maison 
Lasagne , cannelloni ...
Charcuterie fromage italien 
Viande rôti : poulet fermier , souris d’agneau .
Par sms je vous envoi la carte";;;06 50 69 90 12;domi.giorda@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.308117368200064, 48.83365373479417]}";48.8336537348,2.3081173682
Cavavin;118 rue de meaux;75019;Caviste - Brasserie;Livraisons à domicile;Ouverture mercredi et samedi de 11h à 15h pour récupérer les commandes;;;06 89 53 68 31;paris19@cavavin.fr;"{""type"": ""Point"", ""coordinates"": [2.381985629843486, 48.88568701860426]}";48.8856870186,2.38198562984
Popinette;7 rue Etienne Dolet;75020;Restaurant ou traiteur;Livraisons à domicile;"Pizzas et sandwichs
A emporter ou en livraison";;https://www.facebook.com/Popinette-367576650665599/;01 43 64 24 87;lescanotiers@sfr.fr;"{""type"": ""Point"", ""coordinates"": [2.383644789984799, 48.86770677533407]}";48.8677067753,2.38364478998
Negozio Leggero;37 rue Notre Dame de Nazareth;75003;Alimentation générale et produits de première nécessité;Livraisons à domicile;Épicerie vrac;;;01 58 45 14 93;nazareth@negozioleggero.fr;"{""type"": ""Point"", ""coordinates"": [2.358003151886358, 48.86743354275025]}";48.8674335428,2.35800315189
Alexandre Cavalier;26 rue de la solidarité;75019;Bricolage;Livraisons à domicile;"Entreprise Habitat Reneuf,
- Bricolage.";;http://habitareneuf.fr/;06 12 97 44 04;habita.reneuf@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.39311474386386, 48.884155080684465]}";48.8841550807,2.39311474386
Le Touareg;228 rue de Charenton;75012;Restaurant ou traiteur;Livraisons à domicile;"Livraison en Direct 
Plat à emporter 
Deliveroo
Just eat
Ubereat";;;01 43 07 68 49;letouareg12@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.388376618221901, 48.83987435576662]}";48.8398743558,2.38837661822
Maison Thielen;21 rue des Martyrs;75009;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Charcuterie;;https://www.epicery.com/epiceries/maison-thielen;+33 6 08 88 37 00;maisonthielen@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.339510016533886, 48.87815660989397]}";48.8781566099,2.33951001653
Traiteur Saint-Quentin;85B Boulevard de Magenta;75010;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Charcuterie;;https://www.epicery.com/epiceries/traiteur-saint-quentin;+33 6 19 61 02 68;contact@coco2paris.fr;"{""type"": ""Point"", ""coordinates"": [2.355627884039561, 48.876416355076806]}";48.8764163551,2.35562788404
Boucherie Limousine;79 Boulevard Saint-Marcel;75013;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Charcuterie;;https://www.epicery.com/epiceries/boucherie-limousine;+33 6 67 14 94 37;ludovicdespres75@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.352984953287443, 48.8369337067664]}";48.8369337068,2.35298495329
Traiteur Grec Chez Hélène;362 Rue de Vaugirard;75015;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;;;https://www.epicery.com/epiceries/chez-helene;+33 6 60 34 80 16;provios.sotibios@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.2921936571425983, 48.83524970255148]}";48.8352497026,2.29219365714
Yogurt Factory Beaugrenelle;12 Rue Linois;75015;Restaurant ou traiteur;Livraisons à domicile;Glaces;;https://www.epicery.com/epiceries/yogurt-factory-beaugrenelle;+33 6 85 37 53 07;ouriel@yogurtfactory.fr;"{""type"": ""Point"", ""coordinates"": [2.28251560896189, 48.84855980050748]}";48.8485598005,2.28251560896
Boucherie Duret;36 Rue Duret;75016;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Charcuterie, Viande;;https://www.epicery.com/epiceries/boucherie-duret;+33 6 82 39 12 69;jeromegleyze@hotmail.fr;"{""type"": ""Point"", ""coordinates"": [2.28685270158695, 48.87561326900444]}";48.875613269,2.28685270159
Maison Pos Mozart Bio;28 Avenue Mozart;75016;Épicerie fine;Livraisons à domicile;Bio;;https://www.epicery.com/epiceries/maison-pos-avenue-mozart;+33 6 50 80 22 63;dali00703@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.271538996368971, 48.85651013541039]}";48.8565101354,2.27153899637
Boucherie Centrale Lévis;26 Rue de Levis;75017;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;;;https://www.epicery.com/epiceries/boucherie-centrale-levis;01 47 63 15 57;Tassinkawa@hotmail.fr;"{""type"": ""Point"", ""coordinates"": [2.315130372032193, 48.88262747600351]}";48.882627476,2.31513037203
Cave Lambert 18e;28 Rue du Poteau;75018;Caviste - Brasserie;Livraisons à domicile;Spiritueux, Vins;;https://www.epicery.com/epiceries/cave-lambert;+33 6 09 64 20 86;bylambert.com@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.342061589653298, 48.89384192243854]}";48.8938419224,2.34206158965
Poissonnerie Collachot;262 Bis Rue des Pyrénées;75020;Poissonnerie;Livraisons à domicile;Plateaux de fruits de mer, Poisson;;https://www.epicery.com/epiceries/poissonnerie-collachot;+33 6 23 05 13 13;poissonneriedcollachot@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.395111645831245, 48.86942591474821]}";48.8694259147,2.39511164583
DAYA;99 rue Saint Maur;75011;Restaurant ou traiteur;Livraisons à domicile;;;https://www.restaurantdaya.com/;01 71 50 76 86;info@restaurantdaya.com;"{""type"": ""Point"", ""coordinates"": [2.377604142667543, 48.865090776641495]}";48.8650907766,2.37760414267
Delitaly;1 Square Delambre;75014;Épicerie fine;Livraisons à domicile;Traiteur italien, Antipasti, fromages , charcuterie, plats , pizzas , desserts fait maison et une grande sélections de vins;;;01 43 35 22 06;delitaly14@free.fr;"{""type"": ""Point"", ""coordinates"": [2.327368247138752, 48.841459879007914]}";48.841459879,2.32736824714
ACAI AND YOU;78 rue de Maubeuge;75009;Restaurant ou traiteur;Livraisons à domicile;;;https://www.acaiandyou.com/;07 70 31 07 95;hello@acaiandyou.com;"{""type"": ""Point"", ""coordinates"": [2.34801666192618, 48.879147282215314]}";48.8791472822,2.34801666193
O Potager de Menil;4 bis rue des Panoyaux;75020;Alimentation générale et produits de première nécessité;Livraisons à domicile, Retrait de commandes en magasin;Vente de produits Bio. Privilégier les circuits cours, vendre les légumes bio de notre production, pratiquer des tarifs différenciés en fonction des revenus.;;http://opotagerdemenil.fr;01 43 15 70 08;opotagerdemenil75020@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.384747982961992, 48.86625838526623]}";48.8662583853,2.38474798296
Le Commerce;33 boulevard de Reuilly;75012;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Cuisine traditionnelle et couscous vendredi et le weekend. Horaires d'ouverture de 11h30 à 14h30 et de 18h à 21h;;https://www.facebook.com/lecommerceparis12;01 43 43 45 85;tigrine.nabil81@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.392678176393165, 48.839474299996176]}";48.8394743,2.39267817639
MONIQUE & MYRTILLE;83 rue orfila;75020;Restaurant ou traiteur;Retrait de commandes en magasin;Café cantine de quartier. Nous vous proposons un plat de viande, un plat de végétarien, une quiche chaque jour et des desserts. Nous cuisinons avec des produits bio ou issu de l’agriculture raisonnée;;;;moniqueetmyrtille@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.399883576671969, 48.868028131184474]}";48.8680281312,2.39988357667
Ma bière;14 rue Caillaux;75013;Caviste - Brasserie;Retrait de commandes en magasin;Brasseurs, nous vous proposons de découvrir nos bières du moment. Les bières sont brassées sur place, en plein coeur du 13ème et sont vendues en vrac (growlers) !;;;09 82 52 10 26;contact@mabiere.fr;"{""type"": ""Point"", ""coordinates"": [2.360637095499142, 48.822594029432636]}";48.8225940294,2.3606370955
DES METS DES VINS;20, rue d'ALIGRE;75012;Caviste - Brasserie;Livraisons à domicile, Retrait de commandes en magasin;Cave de quartier installée depuis 11 ans.;;;;npn.antoine@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.378537910374662, 48.84934424222977]}";48.8493442422,2.37853791037
Fauve Craft Bière;Les Cuves de Fauve, 64 rue de Charonne;75011;Caviste - Brasserie;Livraisons à domicile, Retrait de commandes en magasin;"Nous proposons des bières artisanales brassées sur place notre bar / resto / micro-brasserie ""Les Cuves de Fauve"", en bouteilles et en canettes !";;https://fauvebiere.com/;07 49 05 95 96;hello@fauvebiere.com;"{""type"": ""Point"", ""coordinates"": [2.379135733582631, 48.85328747521775]}";48.8532874752,2.37913573358
La Fine Fleur;3 rue Duperré;75009;Autre;Livraisons à domicile;Boutique en ligne proposant une sélection d’articles éco-responsables, issus de marques engagées.;;https://lafinefleur.co/;;clement@lafinefleur.co;"{""type"": ""Point"", ""coordinates"": [2.336645187133006, 48.88202956788452]}";48.8820295679,2.33664518713
VIN ET MAREE SUFFREN-ECOLE MILITAIRE;71 AVENUE DE SUFFREN;75007;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Restaurant de poissons et fruits de mer : plateaux,  huitres Gillardeau, huîtres bio, saumon bio fumé, Saint-Jacques, et spécialiste du Baba au rhum;;https://vin-et-maree.restaurant/vin-et-maree-boutique/;01 47 83 27 12;vmsuffren@orange.fr;"{""type"": ""Point"", ""coordinates"": [2.300282067023931, 48.851721320791]}";48.8517213208,2.30028206702
Christophe Cottin;67 rue du Bac;75007;Artisanat d'art;Livraisons à domicile, Retrait de commandes en magasin;Création, transformation, réparation. Depuis 2004, Christophe Cottin, artisan joaillier réalise toute vos envies dans son atelier Parisien sur matériaux précieux et semi précieux;;https://www.christophecottin.com/index.html;06 74 92 50 21;christophe.cottin.bijoux@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.324896076799984, 48.85524266646509]}";48.8552426665,2.3248960768
le comptoir des mots;239 rue des pyrénées;75020;Librairie;Livraisons à domicile, Retrait de commandes en magasin;Une librairie de quartier soucieuse de son ancrage local, où il fait bon traîner, demander des conseils aux libraires et venir avec ses enfants.;;https://www.librest.com/librairies/Le-comptoir-des-mots.html;01 47 97 65 40;librairie@lecomptoirdesmots.fr;"{""type"": ""Point"", ""coordinates"": [2.3987771258954522, 48.864300083882654]}";48.8643000839,2.3987771259
Mon jardin chocolaté;28 rue Raymond Losserand;75014;Chocolaterie - Pâtisserie;Retrait de commandes en magasin;Dans leur atelier, Carine et son équipe travaillent un chocolat bio et artisanal dans lequel ils infusent et sèment des plantes et des graines au gré de leur inspiration : anis, jasmin ...;;https://www.monjardinchocolate.com;06 50 56 56 24;boutique@monjardinchocolate.com;"{""type"": ""Point"", ""coordinates"": [2.320865151505207, 48.835486348040014]}";48.835486348,2.32086515151
Di Loretta;62 rue Rodier;75009;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Di Loretta est une pizzeria italienne située à Paris 9. Vous pourrez déguster des pizzas romaines à la coupe, élaborées selon des recettes gourmandes de David Azoulay.;;https://www.pizzadiloretta.com/;06 49 69 63 1;diloretta.magali@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.34409512258925, 48.880665642230994]}";48.8806656422,2.34409512259
Librairie chrétienne CLC;47 49 rue Quincampoix;75004;Librairie;Retrait de commandes en magasin;Librairie Chrétienne évangélique et protestante. Un grand choix de bibles et livres chrétiens. Bible gros caractère, bibles pour enfants. Site internet : www.clcfrance.com;;http://www.clcfrance.com;01 42 72 09 32;paris@clcfrance.com;"{""type"": ""Point"", ""coordinates"": [2.350501602527671, 48.861224525896404]}";48.8612245259,2.35050160253
REFUGE BD;40 rue faidherbe;75011;Librairie;Retrait de commandes en magasin;Librairie spécialisée en Bandes Dessinées et Jeunesse, REFUGE BD existe depuis 2012. Grand choix de BDs, Mangas, Comics, Albums Jeunesse.;;http://www.facebook.fr/refugebd;01 71 37 99 18;refugebd@yahoo.fr;"{""type"": ""Point"", ""coordinates"": [2.383001650872823, 48.85318165761544]}";48.8531816576,2.38300165087
Librairie 7 ici;48 rue de Lille;75007;Librairie;Livraisons à domicile, Retrait de commandes en magasin;Librairie religieuse, protestante et évangélique. Service internet et retrait de commande en magasin;;http://www.librairie-7ici.com;01 42 61 57 77;7ici@wanadoo.fr;"{""type"": ""Point"", ""coordinates"": [2.329162076515801, 48.85874290656764]}";48.8587429066,2.32916207652
OptiSoins;77 rue du faubourg Saint Denis;75010;Articles médicaux et orthopédiques;Livraisons à domicile, Retrait de commandes en magasin;Opticien , propose livraisons à domicile ou au bureau, et services d optique à domicile avec des verres fabriqués en France et des montures entrant dans le cadre du 100santé, réparations gratuites;;;01 47 70 47 57;arthuretchloe@yahoo.fr;"{""type"": ""Point"", ""coordinates"": [2.354415909383, 48.87306577378389]}";48.8730657738,2.35441590938
LE PETIT VATEL;5 RUE LOBINEAU;75006;Restaurant ou traiteur;Retrait de commandes en magasin;"Le Petit Vatel, restaurant familial: la cuisine est mijotée avec des produits frais du marché. C'est la cuisine de la ""Casa"", fait avec Amour. Passez commande et prenez plaisir";;;06 74 29 12 68;molerodelgadom@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.336517993331321, 48.85168172833721]}";48.8516817283,2.33651799333
Jean-Marc Bouquiniste de Paris;10 Quai de l'Hôtel de Ville;75004;Librairie;Livraisons à domicile, Retrait de commandes en magasin;Bouquiniste des quais de Seine de Paris spécialisé en livres anciens, tout genre de littérature.;;https://www.facebook.com/jeanmarc.milliere/;;jmmilliere@hotmail.com;"{""type"": ""Point"", ""coordinates"": [2.357847091374941, 48.853711682126246]}";48.8537116821,2.35784709137
Péniche Librairie L'eau et les rêves;9 quai de l'Oise;75019;Librairie;Retrait de commandes en magasin;"Numéro de téléphone : 09 51 55 08 75 / 06 82 14 02 33
Mardi : 18h-23h
Mercredi - jeudi : 11h-23h
Vendredi-samedi : 11h-01h
Dimanche : 11h-21h";;http://www.penichelibrairie.com;09 51 55 08 75;contact@penichelibrairie.com;"{""type"": ""Point"", ""coordinates"": [2.382015750827743, 48.890009525444455]}";48.8900095254,2.38201575083
Taokan Saint Honore;1 rue du Mont Thabor;75001;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;"Cuisine chinoise gastronomique contemporaine proposant un large choix de plats fait maison soigneusement préparés par nos soins. 
Notre carte sur www.Taokan.fr";;http://www.taokan.fr;01 42 61 97 88;Sthonore.taokan@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.329573883297834, 48.86532209004582]}";48.86532209,2.3295738833
MES SOUVENIRS D'ESPAGNE;31-32 rue du château d'eau, MARCHE SAINT MARTIN;75010;Épicerie fine;Livraisons à domicile, Retrait de commandes en magasin;GASTRONOMIE ESPAGNOLE.;ÉPICERIE FINE ESPAGNOLE;https://www.messouvenirsdespagne.com;01 40 38 32 34;info@messouvenirsdespagne.com;"{""type"": ""Point"", ""coordinates"": [2.359633613505598, 48.87053628805556]}";48.8705362881,2.35963361351
L'Atelier Mon Balcon Parisien;22 rue de Moscou;75008;Fleuriste;Livraisons à domicile, Retrait de commandes en magasin;"Bouquets, Fleurs coupées, Plantes d'intérieur et d'extérieur, Accessoires
Showroom de Mon Balcon Parisien";;https://www.monbalconparisien.fr;06 70 26 57 81;contact@monbalconparisien.fr;"{""type"": ""Point"", ""coordinates"": [2.324992194644099, 48.88070264407404]}";48.8807026441,2.32499219464
Mon Soulier;38 rue de Trevise;75009;Autre;Livraisons à domicile, Retrait de commandes en magasin;"Depuis 2014, Mon Soulier propose une collection dessinée dans notre boutique parisienne et fabriquée en Italie.
Des bottes tubes dans des cuirs colorés, des boots en tweed pour la parisienne";Chaussures;https://monsoulier.fr/fr/;06 62 12 39 59;boutique@monsoulier.fr;"{""type"": ""Point"", ""coordinates"": [2.345568950548937, 48.87536385865214]}";48.8753638587,2.34556895055
Librairie La Petite Boucherie;65 rue Monge;75005;Librairie;Retrait de commandes en magasin;Librairie jeunesse, jeux, jouets;;;01 43 37 05 64;contacts@laboucherie.com;"{""type"": ""Point"", ""coordinates"": [2.35249003017922, 48.84404671594832]}";48.8440467159,2.35249003018
YUMMY ASIAN FOOD;8 rue du 8 mai 1945;75010;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;"Un petit creux? Un Bubble tea avec une verrine de perle du japon au coulis de mangue.
Une grosse faim? Un bibimbap, des Gyozas, un tiramisu au Nutella et un Aloe vera! :)";;https://www.instagram.com/yummy.asianfood/;01 40 38 08 78;contact@yummy.fr;"{""type"": ""Point"", ""coordinates"": [2.357151572015181, 48.87642236709566]}";48.8764223671,2.35715157202
ISSA PARIS;4 rue du Petit moine;75005;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Bistro franco japonais,;;https://www.issa-paris.com;01 77 32 24 82;Contact@issa-paris.com;"{""type"": ""Point"", ""coordinates"": [2.351560053446844, 48.83820899565947]}";48.8382089957,2.35156005345
Ma Toute Petite Boutique;3  rue de la Voûte;75012;Autre;Livraisons à domicile, Retrait de commandes en magasin;MaToutePetiteBoutique est un concept store de cadeaux originaux et créateurs français dédié à toute la famille, petits et grands. On y découvre un univers 100% cadeaux, dans une large gamme de prix.;Concept store cadeaux;https://matoutepetiteboutique.com;06 16 85 84 77;myriam@matoutepetiteboutique.com;"{""type"": ""Point"", ""coordinates"": [2.406166458924841, 48.845034067869015]}";48.8450340679,2.40616645892
Alimento;9 rue de pontoise;75005;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;"Pizza, pasta & antipasti en livraison (deliveroo) ou à emporter.
Tous les jours déjeuners et diners
Fait maison
Avec des produits livrés directement d'italie";;https://www.alimento.fr;01 43 25 89 41;contact@alimento.fr;"{""type"": ""Point"", ""coordinates"": [2.352111772792401, 48.8499028890229]}";48.849902889,2.35211177279
Chantelivre;13 rue de sèvres;75006;Librairie;Livraisons à domicile, Retrait de commandes en magasin;La librairie de référence pour la littérature de jeunesse !;;https://www.chantelivre.com;01 45 48 87 90;librairie@chantelivre.com;"{""type"": ""Point"", ""coordinates"": [2.328270777530089, 48.851684771587756]}";48.8516847716,2.32827077753
KompoS'eat;92,avenue de saint ouen;75018;Restaurant ou traiteur;Retrait de commandes en magasin;NOS SALES :crêpes salés ,salades ,paninis  ,NOS DESSERTS : crêpes sucrées, paninis sucrées ,milkshakes et Sundays ,NOS JUS MIXES: Jus de fruits et smoothies  et NOS FRIANDISES AMERICAINES;;;09 53 45 54 85;comoi_96@hotmail.com;"{""type"": ""Point"", ""coordinates"": [2.327780896255724, 48.89350666148019]}";48.8935066615,2.32778089626
Desi Road;14 rue dauphine;75006;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Votre restaurant de cuisine moderne indienne est ouvert tous les soirs (sauf lundis, mardis) dès 18h et jusque 21h. Ouvert les midis des samedis & dimanches de 12h à 14h30. Fermé le lundi & le mardi;;https://bit.ly/3mEZypN;06 14 31 32 48;desiroad@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.340014887703961, 48.855644984019186]}";48.855644984,2.3400148877
VANGELDER CREATION;2 Place Saint Sulpice;75006;Autre;Retrait de commandes en magasin;La marque VANGELDER a été créée en 1987 à Paris, sur la rive gauche, entre la Tour Eiffel et les Invalides. Sept ans plus tard, elle déménage , au cœur de Saint-Germain-des-Prés.;;http://www.vangeldercreation.com/;01 44 32 00 44;contact@vangeldercreation.com;"{""type"": ""Point"", ""coordinates"": [2.334286704237523, 48.851397429304185]}";48.8513974293,2.33428670424
Alice Hubert;97 Passage du caire;75002;Autre;Livraisons à domicile, Retrait de commandes en magasin;Il est possible de passer commande sur le eshop, vous pouvez choisir de la recevoir chez vous ou dans un point relais. Il est également possible de venir la récupérer directement à l’atelier sur rdv.;;http://www.alicehubert.com;;contact@alicehubert.com;"{""type"": ""Point"", ""coordinates"": [2.349127944918836, 48.868119516990284]}";48.868119517,2.34912794492
À la Mère de Famille;95, rue Cambronne;75015;Boulangerie - pâtisserie;Livraisons à domicile, Retrait de commandes en magasin;La plus ancienne chocolaterie de Paris;;http://www.lameredefamille.com;01 45 66 76 64;contact@lameredefamille.com;"{""type"": ""Point"", ""coordinates"": [2.303149931496037, 48.842177470759594]}";48.8421774708,2.3031499315
Stohrer;95, rue Cambronne;75015;Boulangerie - pâtisserie;Livraisons à domicile, Retrait de commandes en magasin;La plus ancienne pâtisserie de Paris;;http://www.stohrer.fr;01 45 66 76 64;contact@stohrer.fr;"{""type"": ""Point"", ""coordinates"": [2.303149931496037, 48.842177470759594]}";48.8421774708,2.3031499315
Le SweetSpot;108 rue Mouffetard;75005;Autre;Livraisons à domicile, Retrait de commandes en magasin;En cette période de confinement nous proposons chaque semaine 3recettes de cookies faits maison ultra gourmands, à récupérer au SweetSpot à l'heure du goûter ou livrés directement chez vous à vélo! :);;http://www.lesweetspot.paris/eshop-cookies;;contact@lesweetspot.paris;"{""type"": ""Point"", ""coordinates"": [2.349529763184091, 48.840916223557734]}";48.8409162236,2.34952976318
Armorix;23, rue Sainte Marthe;75010;Restaurant ou traiteur;Retrait de commandes en magasin;Crêperie Bretonne Jaune.  Carte inventive : recettes traditionnelles et recettes différentes (dont les fameux makis de sarrasin ou froment à partager). Cidres en rapport.;;https://armorix.hiboutik.com/shop;09 80 44 73 30;armorix@armorix.bzh;"{""type"": ""Point"", ""coordinates"": [2.372150124797451, 48.87412142152343]}";48.8741214215,2.3721501248
La p'tite régalade;34 rue Traversière;75012;Restaurant ou traiteur;Retrait de commandes en magasin;Envie d’un bon p’tit repas fait maison à emporter ? Laissez-vous tenter par notre cuisine française simple, traditionnelle, familiale et gourmande à base de produits frais !;;https://la-ptite-regalade-restaurant-paris.eatbu.com/;09 87 12 54 19;laptiteregalade@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.374357983943553, 48.84856671861654]}";48.8485667186,2.37435798394
POPULUS;40 Rue du Tage;75013;Restaurant ou traiteur;Retrait de commandes en magasin;Petit restaurant du quartier des Peupliers, cuisine de marché, simple et goûteuse.;;http://www.populus-bistrot.fr;09 54 96 79 10;populusbistrot@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.3555361133687223, 48.822176113565206]}";48.8221761136,2.35553611337
LATINOGOURMAND Glaciere;117 rue de la Glacière;75013;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Cuisine maison, spécialités péruviennes. 7/7 jours. De 11h à 14h30 et de 18h à 21h;;http://www.latinogourmand.fr;01 45 81 09 45;latinogourmand@hotmail.com;"{""type"": ""Point"", ""coordinates"": [2.342273192491978, 48.82723181159998]}";48.8272318116,2.34227319249
Tomy&co;22 rue surcouf;75007;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;"Nous vous proposons chaque semaine un menu à 35e du lundi au dimanche et jours fériés,
La Team Tomy vous attend pour vous donner un peu de bonheur dans cette période un peu triste !!";;http://www.tomygousset.com;01 45 51 46 93;tomysurcourf@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.3094399720229, 48.86055663157917]}";48.8605566316,2.30943997202
en tête à tête;42, avenue mathurin moreau;75019;Autre;Livraisons à domicile, Retrait de commandes en magasin;Nous sommes un salon de coiffure indépendant avec un corner où nous vendons des articles de décoration, accessoires de modes, de préférence fabrication française.;;;06 78 85 18 66;sandrine.cadtillon@enteteatete.fr;"{""type"": ""Point"", ""coordinates"": [2.375555197276487, 48.87845787034752]}";48.8784578703,2.37555519728
AGENCE DU XIVème;2 Rue Rémy dumoncel;75014;Autre;Livraisons à domicile, Retrait de commandes en magasin;Agence immobilière indépendante vous proposant un service personnalisé pour la vente, la location ou la gestion locative de vos biens.;;http://www.agencedu14e.com;06 60 40 61 56;Agencedu14e@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.333653758815956, 48.829840350297474]}";48.8298403503,2.33365375882
Flowrette;80bis rue de l'ouest;75014;Fleuriste;Livraisons à domicile;"Flowrette est une boutique spécialiste de la fleur séchée. 
L’équipe Flowrette propose des bouquets de fleurs séchées confectionnés avec amour et passion dans notre atelier parisien.";;http://www.flowrette.com;;hello@flowrette.com;"{""type"": ""Point"", ""coordinates"": [2.317502972548875, 48.83519942015124]}";48.8351994202,2.31750297255
GLAM FASHION BEAUTY;7 RUE EVA KOTCHEVER;75018;Autre;Livraisons à domicile, Retrait de commandes en magasin;Je suis conseillère en image et je vous propose à travers mon showroom multimarques : prêt à porter, perruques, produits cosmétiques naturels , maroquinerie, infusions bien-être, biscuits...;;http://www.glamfashionbeauty.com;06 28 75 31 09;contact@glamfashionbeauty.com;"{""type"": ""Point"", ""coordinates"": [2.357329246810643, 48.897442162093625]}";48.8974421621,2.35732924681
Optique D’Orves;8 rue Blanche;75009;Autre;Livraisons à domicile, Retrait de commandes en magasin;"Vente de lunettes de secours en express, livraison lentilles de contact en 24h,
examen de vue sur rendez-vous";;http://www.optiquedorves.com;01 42 85 07 79;optiquedorves@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.332247338462309, 48.87727816185269]}";48.8772781619,2.33224733846
PAPIER TIGRE;5 rue des Filles du Calvaire;75003;Presse et papeterie;Livraisons à domicile, Retrait de commandes en magasin;Papier Tigre bouscule le marché avec des articles de papeterie de qualité qui sortent de l’ordinaire. Qui apporte de l’audace, de la couleur et de la créativité partout depuis 2012 !;;http://www.papiertigre.fr;01 48 04 00 21;hello@papiertigre.fr;"{""type"": ""Point"", ""coordinates"": [2.365131876344171, 48.862362681895384]}";48.8623626819,2.36513187634
Quai Liberté;Port de Javel Haut;75015;Restaurant ou traiteur;Retrait de commandes en magasin;;;http://www.quailiberte.fr;;theodore@wakeupcafe.org;"{""type"": ""Point"", ""coordinates"": [2.280155456061363, 48.849156447659524]}";48.8491564477,2.28015545606
Victor Planches&Apéro;100 rue Damrémont;75018;Caviste - Brasserie;Retrait de commandes en magasin;Apéro Bar proposant à la vente à emporter des bières artisanales locales, des vins bios, biodynamiques et natures ainsi que des planches apéros;;https://victor-planchesapero.eatbu.com/?lang=fr;09 86 10 15 85;victor.planchesetapero@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.336221242028105, 48.893255211014896]}";48.893255211,2.33622124203
Les Epiciers Modernes;32 rue Boursault;75017;Épicerie fine;Livraisons à domicile, Retrait de commandes en magasin;Charcuterie, fromages, vins, sucré, salé, des centaines de références pour tous les goûts ! En ce moment, des kits Raclette livrés chez vous !;;https://www.lesepiciersmodernes.fr/;09 51 67 92 54;contact@lesepiciersmodernes.de;"{""type"": ""Point"", ""coordinates"": [2.319872074108726, 48.88422447652121]}";48.8842244765,2.31987207411
